VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
,,,,,,,,,,,,,,,,
1,2018-06-01 00:15:40,2018-06-01 00:16:46,1,0,1,N,145,145,2,3,0.5,0.5,0,0,0.3,4.3
1,2018-06-01 00:04:18,2018-06-01 00:09:18,1,1,1,N,230,161,1,5.5,0.5,0.5,1.35,0,0.3,8.15
1,2018-06-01 00:14:39,2018-06-01 00:29:46,1,3.3,1,N,100,263,2,13,0.5,0.5,0,0,0.3,14.3
1,2018-06-01 00:51:25,2018-06-01 00:51:29,3,0,1,N,145,145,2,2.5,0.5,0.5,0,0,0.3,3.8
1,2018-06-01 00:55:06,2018-06-01 00:55:10,1,0,1,N,145,145,2,2.5,0.5,0.5,0,0,0.3,3.8
1,2018-06-01 00:09:00,2018-06-01 00:24:01,1,2,1,N,161,234,1,11.5,0.5,0.5,2.55,0,0.3,15.35
1,2018-06-01 00:02:33,2018-06-01 00:13:01,2,1.5,1,N,163,233,1,8.5,0.5,0.5,1.95,0,0.3,11.75
1,2018-06-01 00:13:23,2018-06-01 00:16:52,1,0.7,1,N,186,246,1,5,0.5,0.5,1.85,0,0.3,8.15
1,2018-06-01 00:24:29,2018-06-01 01:08:43,1,5.7,1,N,230,179,2,22,0.5,0.5,0,0,0.3,23.3
2,2018-06-01 00:17:01,2018-06-01 00:23:16,1,0.85,1,N,179,223,2,6,0.5,0.5,0,0,0.3,7.3
2,2018-06-01 00:25:17,2018-06-01 00:47:24,1,6.25,1,N,223,186,1,21,0.5,0.5,0,0,0.3,22.3
1,2018-06-01 00:39:42,2018-06-01 00:57:23,1,3.5,1,N,141,179,1,13.5,0.5,0.5,2.95,0,0.3,17.75
1,2018-06-01 00:25:43,2018-06-01 00:40:07,1,3,1,N,138,7,1,12.5,0.5,0.5,3.45,0,0.3,17.25
1,2018-06-01 00:56:46,2018-06-01 01:08:33,4,2.6,1,N,138,57,2,12,0.5,0.5,0,0,0.3,13.3
1,2018-06-01 00:11:53,2018-06-01 00:39:17,1,10,1,N,132,61,2,30.5,0.5,0.5,0,0,0.3,31.8
1,2018-06-01 00:33:34,2018-06-01 00:51:15,1,4.6,1,N,264,264,1,16.5,0.5,0.5,2,0,0.3,19.8
2,2018-06-01 00:02:18,2018-06-01 00:08:05,1,0.75,1,N,229,141,1,5.5,0.5,0.5,4,0,0.3,10.8
2,2018-06-01 00:40:22,2018-06-01 00:52:20,1,3.94,1,N,148,233,1,13.5,0.5,0.5,3.7,0,0.3,18.5
1,2018-06-01 00:22:51,2018-06-01 00:30:01,1,1.4,1,N,142,238,1,7.5,0.5,0.5,1.75,0,0.3,10.55
1,2018-06-01 00:26:26,2018-06-01 00:26:26,2,0,1,N,114,264,2,19.5,0.5,0.5,0,0,0.3,20.8
2,2018-06-01 00:15:05,2018-06-01 00:19:52,1,2.96,1,N,238,244,2,10,0.5,0.5,0,0,0.3,11.3
1,2018-06-01 00:06:03,2018-06-01 00:16:01,1,1.7,1,N,264,264,1,8.5,0.5,0.5,1.95,0,0.3,11.75
1,2018-06-01 00:47:30,2018-06-01 00:55:05,2,1.5,1,N,264,264,1,7.5,0.5,0.5,1.2,0,0.3,10
1,2018-06-01 00:09:50,2018-06-01 00:20:33,1,2.8,1,N,231,52,1,10.5,0.5,0.5,2.15,0,0.3,13.95
1,2018-06-01 00:27:13,2018-06-01 00:54:42,1,5.5,1,N,25,231,2,22,0.5,0.5,0,0,0.3,23.3
1,2018-06-01 00:15:59,2018-06-01 00:16:05,1,8.6,1,N,265,265,1,2.5,0.5,0.5,128,0,0.3,131.8
1,2018-06-01 00:49:26,2018-06-01 01:02:54,1,2.4,1,N,79,87,1,11.5,0.5,0.5,2.55,0,0.3,15.35
1,2018-06-01 00:13:01,2018-06-01 00:23:06,1,1.3,1,N,161,48,1,8,0.5,0.5,1.85,0,0.3,11.15
1,2018-06-01 00:25:05,2018-06-01 00:38:08,2,2.9,1,N,48,79,1,11.5,0.5,0.5,2.55,0,0.3,15.35
1,2018-06-01 00:41:13,2018-06-01 01:00:58,1,6.2,1,N,79,151,1,19.5,0.5,0.5,4.16,0,0.3,24.96
2,2018-06-01 00:28:33,2018-06-01 00:32:59,1,1.16,1,N,186,249,2,5.5,0.5,0.5,0,0,0.3,6.8
1,2018-06-01 00:02:10,2018-06-01 00:06:19,1,1.1,1,N,48,90,1,5.5,0.5,0.5,1,0,0.3,7.8
1,2018-06-01 00:18:36,2018-06-01 00:51:16,3,2.8,1,N,211,256,1,21.5,0.5,0.5,4.55,0,0.3,27.35
1,2018-06-01 00:42:42,2018-06-01 00:50:57,1,1.9,1,N,158,164,1,8,0.5,0.5,1.85,0,0.3,11.15
2,2018-06-01 00:16:58,2018-06-01 00:30:04,1,3.11,1,N,209,107,1,12,0.5,0.5,2,0,0.3,15.3
2,2018-06-01 00:02:49,2018-06-01 00:02:52,1,0,2,N,140,140,1,52,0,0.5,8,0,0.3,60.8
1,2018-06-01 00:44:06,2018-06-01 01:11:48,1,17.4,2,N,132,140,1,52,0,0.5,10.55,0,0.3,63.35
2,2018-06-01 00:15:22,2018-06-01 01:31:45,1,44.82,3,N,132,265,1,133,0.5,0,0,22.02,0.3,155.82
1,2018-06-01 00:03:22,2018-06-01 00:11:18,1,1.2,1,N,230,137,1,7,0.5,0.5,1.65,0,0.3,9.95
1,2018-06-01 00:28:01,2018-06-01 00:38:26,2,2.4,1,N,249,230,1,10,0.5,0.5,2.25,0,0.3,13.55
1,2018-06-01 00:48:00,2018-06-01 00:51:21,1,0.5,1,N,230,163,1,4.5,0.5,0.5,1,0,0.3,6.8
1,2018-06-01 00:57:53,2018-06-01 01:05:33,2,1.4,1,N,230,163,2,7.5,0.5,0.5,0,0,0.3,8.8
2,2018-06-01 00:32:04,2018-06-01 00:58:18,1,6.2,1,N,209,262,1,24.5,0.5,0.5,6.45,0,0.3,32.25
1,2018-06-01 00:01:23,2018-06-01 00:11:54,1,2.9,1,N,100,238,2,11,0.5,0.5,0,0,0.3,12.3
1,2018-06-01 00:17:13,2018-06-01 00:33:04,1,4.6,1,N,24,246,1,15.5,0.5,0.5,3.35,0,0.3,20.15
1,2018-06-01 00:52:01,2018-06-01 01:01:02,1,1.6,1,N,230,141,2,8,0.5,0.5,0,0,0.3,9.3
1,2018-06-01 00:52:48,2018-06-01 00:56:43,1,0.9,1,N,186,162,2,5,0.5,0.5,0,0,0.3,6.3
1,2018-06-01 00:13:31,2018-06-01 00:46:57,2,5.3,1,N,233,260,1,23,0.5,0.5,2,0,0.3,26.3
1,2018-06-01 00:48:59,2018-06-01 00:53:26,1,1,1,N,260,157,1,5.5,0.5,0.5,0,0,0.3,6.8
1,2018-06-01 00:03:40,2018-06-01 00:07:58,1,0.6,1,N,246,48,2,4.5,0.5,0.5,0,0,0.3,5.8
1,2018-06-01 00:27:05,2018-06-01 00:41:56,1,2.8,1,N,161,79,1,12.5,0.5,0.5,1,0,0.3,14.8
2,2018-06-01 00:32:20,2018-06-01 00:38:38,2,0.91,1,N,90,107,1,6,0.5,0.5,1.46,0,0.3,8.76
2,2018-06-01 00:41:55,2018-06-01 01:03:19,1,6.43,1,N,234,40,1,21,0.5,0.5,5.61,5.76,0.3,33.67
1,2018-06-01 00:33:53,2018-06-01 00:38:56,1,0.8,1,N,186,90,2,5.5,0.5,0.5,0,0,0.3,6.8
1,2018-06-01 00:45:05,2018-06-01 00:55:56,1,3.7,1,N,162,226,1,13.5,0.5,0.5,2.95,0,0.3,17.75
1,2018-06-01 00:27:03,2018-06-01 00:39:50,1,6.5,1,N,50,244,3,20,0.5,0.5,0,0,0.3,21.3
1,2018-06-01 00:41:35,2018-06-01 00:46:48,1,0.8,1,N,244,244,3,5.5,0.5,0.5,0,0,0.3,6.8
1,2018-06-01 00:12:04,2018-06-01 00:41:58,4,10.4,1,N,138,161,2,33,0.5,0.5,0,5.76,0.3,40.06
1,2018-06-01 00:44:04,2018-06-01 00:59:51,4,3.1,1,N,161,79,1,13,0.5,0.5,2.85,0,0.3,17.15
1,2018-06-01 00:13:08,2018-06-01 00:16:17,1,0.6,1,N,151,151,2,4.5,0.5,0.5,0,0,0.3,5.8
1,2018-06-01 00:19:54,2018-06-01 00:27:28,1,1.3,1,N,151,239,2,7,0.5,0.5,0,0,0.3,8.3
1,2018-06-01 00:32:21,2018-06-01 00:50:45,1,6.1,1,N,239,261,1,19.5,0.5,0.5,3.5,0,0.3,24.3
1,2018-06-01 00:28:48,2018-06-01 00:42:32,1,3,1,N,231,230,1,12,0.5,0.5,3.3,0,0.3,16.6
1,2018-06-01 00:46:19,2018-06-01 00:51:31,1,0.8,1,N,230,186,1,5.5,0.5,0.5,2,0,0.3,8.8
1,2018-06-01 00:58:51,2018-06-01 01:01:36,2,0.7,1,N,48,142,2,4.5,0.5,0.5,0,0,0.3,5.8
1,2018-06-01 00:06:54,2018-06-01 00:39:27,1,5.3,1,N,48,129,2,22.5,0.5,0.5,0,0,0.3,23.8
2,2018-06-01 00:14:17,2018-06-01 00:19:37,2,1.39,1,N,137,229,1,6.5,0.5,0.5,1,0,0.3,8.8
2,2018-06-01 00:55:20,2018-06-01 01:06:22,1,2.66,1,N,107,141,1,10.5,0.5,0.5,2.36,0,0.3,14.16
2,2018-06-01 00:32:36,2018-06-01 00:37:15,2,0.61,1,N,234,107,1,5,0.5,0.5,0.94,0,0.3,7.24
2,2018-06-01 00:39:36,2018-06-01 00:45:50,2,1.09,1,N,107,79,2,6.5,0.5,0.5,0,0,0.3,7.8
2,2018-06-01 00:18:54,2018-06-01 00:31:14,1,2.84,1,N,186,239,1,11.5,0.5,0.5,2.56,0,0.3,15.36
2,2018-06-01 00:48:44,2018-06-01 01:01:40,1,2.6,1,N,230,79,1,11,0.5,0.5,2.46,0,0.3,14.76
2,2018-06-01 00:05:44,2018-06-01 00:09:31,1,0.95,1,N,170,161,1,5,0.5,0.5,1.89,0,0.3,8.19
2,2018-06-01 00:14:24,2018-06-01 00:32:38,1,4.82,1,N,230,261,2,17,0.5,0.5,0,0,0.3,18.3
2,2018-06-01 00:02:46,2018-06-01 00:24:45,2,4.1,1,N,164,146,2,17.5,0.5,0.5,0,0,0.3,18.8
2,2018-06-01 00:38:34,2018-06-01 00:46:19,1,1.4,1,N,75,74,2,7.5,0.5,0.5,0,0,0.3,8.8
2,2018-06-01 00:01:46,2018-06-01 00:28:51,2,8.51,1,N,138,41,1,28,0.5,0.5,7.01,5.76,0.3,42.07
1,2018-06-01 00:30:04,2018-06-01 00:52:44,1,8.6,1,N,138,236,1,26.5,0.5,0.5,3,5.76,0.3,36.56
2,2018-06-01 00:12:14,2018-06-01 00:42:47,1,4.38,1,N,161,7,1,21,0.5,0.5,5.58,0,0.3,27.88
2,2018-06-01 00:03:11,2018-06-01 00:07:10,1,0.87,1,N,246,186,1,5,0.5,0.5,1,0,0.3,7.3
2,2018-06-01 00:33:20,2018-06-01 01:05:35,1,12.14,1,N,246,200,2,38,0.5,0.5,0,2.64,0.3,41.94
2,2018-06-01 00:09:50,2018-06-01 00:10:18,1,0,5,N,61,61,2,26.3,0,0.5,0,0,0.3,27.1
2,2018-06-01 00:11:52,2018-06-01 00:12:03,1,0,5,N,61,61,1,26.3,0,0.5,5.42,0,0.3,32.52
2,2018-06-01 00:23:15,2018-06-01 00:36:24,1,2.95,1,N,17,80,2,12,0.5,0.5,0,0,0.3,13.3
2,2018-06-01 00:54:36,2018-06-01 01:05:39,1,1.91,1,N,79,186,1,9.5,0.5,0.5,2.16,0,0.3,12.96
1,2018-06-01 00:57:57,2018-06-01 01:34:41,1,12.8,1,N,132,181,2,38.5,0.5,0.5,0,0,0.3,39.8
1,2018-06-01 00:24:28,2018-06-01 00:46:04,1,4,1,N,181,85,1,17,0.5,0.5,3.5,0,0.3,21.8
1,2018-06-01 00:04:07,2018-06-01 00:07:43,2,0.9,1,N,79,79,1,5,0.5,0.5,1.25,0,0.3,7.55
1,2018-06-01 00:09:14,2018-06-01 00:17:02,1,1.2,1,N,264,232,1,7,0.5,0.5,1.65,0,0.3,9.95
1,2018-06-01 00:18:48,2018-06-01 00:32:03,2,3.8,1,N,264,40,1,14,0.5,0.5,3.8,0,0.3,19.1
1,2018-06-01 00:33:38,2018-06-01 00:52:55,1,3.2,1,N,264,17,1,15,0.5,0.5,3.25,0,0.3,19.55
1,2018-06-01 00:13:44,2018-06-01 00:37:23,1,8.8,1,N,138,238,1,27.5,0.5,0.5,6.9,5.76,0.3,41.46
1,2018-06-01 00:42:04,2018-06-01 00:46:32,1,0.9,1,N,142,238,2,5.5,0.5,0.5,0,0,0.3,6.8
1,2018-06-01 00:50:37,2018-06-01 01:00:41,1,1.5,1,N,238,263,1,8.5,0.5,0.5,1.95,0,0.3,11.75
